"code","name","area"
412015,"佐賀市",431.84
412023,"唐津市",487.6
412031,"鳥栖市",71.72
412040,"多久市",96.96
412058,"伊万里市",255.25
412066,"武雄市",195.4
412074,"鹿島市",112.12
412082,"小城市",95.81
412091,"嬉野市",126.41
412104,"神埼市",125.13
413208,"神埼郡",43.99
413275,"吉野ヶ里町",43.99
413402,"三養基郡",86.86
413411,"基山町",22.15
413453,"上峰町",12.8
413461,"みやき町",51.92
413801,"東松浦郡",35.92
413879,"玄海町",35.92
414000,"西松浦郡",65.85
414018,"有田町",65.85
414204,"杵島郡",135.54
414239,"大町町",11.5
414247,"江北町",24.49
414255,"白石町",99.56
414409,"藤津郡",74.3
414417,"太良町",74.3
